Delta_C,Vega_C,Impl_Vol_C,Open_Int_C,BID_C,ASK_C,Exp,Strike,BID_P,ASK_P,Delta_P,Vega_P,Impl_Vol_P,Open_Int_P
0.846,0.07,4.4688,575,197.95,198.23,15-Jun-18,65,0,0.01,0,0.001,1.1912,45
0.846,0.075,4.0491,200,192.96,193.24,15-Jun-18,70,0,0.01,0,0.001,1.1292,"2,215"
0.847,0.08,3.6857,450,187.97,188.25,15-Jun-18,75,0,0.01,0,0.001,1.0716,106
0.849,0.084,3.3693,300,182.99,183.27,15-Jun-18,80,0,0.01,0,0.001,1.0177,146
0.851,0.088,3.0892,30,178,178.28,15-Jun-18,85,0,0.01,0,0.001,0.9672,211
0.854,0.092,2.8417,99,173.02,173.3,15-Jun-18,90,0,0.01,0,0.001,0.9197,624
0.857,0.095,2.6194,40,168.03,168.31,15-Jun-18,95,0,0.01,0,0.001,0.8747,"1,921"
0.861,0.098,2.4205,123,163.05,163.33,15-Jun-18,100,0,0.01,0,0.001,0.8321,"3,571"
0.864,0.1,2.2408,0,158.07,158.35,15-Jun-18,105,0,0.01,0,0.001,0.7915,"6,094"
0.867,0.102,2.0777,0,153.09,153.37,15-Jun-18,110,0,0.02,0,0.002,0.7947,"4,987"
0.871,0.104,1.928,110,148.1,148.38,15-Jun-18,115,0,0.02,-0.001,0.002,0.7548,"10,491"
0.874,0.106,1.7918,1,143.12,143.4,15-Jun-18,120,0.01,0.02,-0.001,0.002,0.742,"5,057"
0.878,0.108,1.6659,99,138.13,138.41,15-Jun-18,125,0.01,0.02,-0.001,0.003,0.706,"4,997"
0.881,0.109,1.5506,0,133.15,133.43,15-Jun-18,130,0.01,0.02,-0.001,0.003,0.6699,"6,100"
0.885,0.11,1.4437,0,128.17,128.44,15-Jun-18,135,0.01,0.03,-0.001,0.003,0.6519,"5,034"
0.888,0.111,1.3445,0,123.18,123.46,15-Jun-18,140,0.02,0.03,-0.001,0.004,0.631,"13,328"
0.891,0.112,1.2528,0,118.2,118.48,15-Jun-18,145,0.02,0.03,-0.002,0.005,0.5984,"4,187"
0.894,0.113,1.1668,4,113.22,113.49,15-Jun-18,150,0.03,0.04,-0.002,0.006,0.5847,"27,360"
0.897,0.114,1.0875,10,108.24,108.52,15-Jun-18,155,0.03,0.04,-0.002,0.006,0.5526,"5,070"
0.9,0.115,1.0128,641,103.26,103.54,15-Jun-18,160,0.04,0.05,-0.003,0.008,0.5352,"7,919"
0.902,0.116,0.9428,607,98.28,98.56,15-Jun-18,165,0.04,0.05,-0.003,0.009,0.5046,"13,222"
0.905,0.117,0.877,513,93.3,93.58,15-Jun-18,170,0.05,0.06,-0.004,0.01,0.485,"8,297"
0.907,0.117,0.815,665,88.32,88.6,15-Jun-18,175,0.05,0.07,-0.004,0.012,0.4597,"15,045"
0.909,0.119,0.7566,2,83.34,83.62,15-Jun-18,180,0.06,0.08,-0.005,0.014,0.4381,"33,804"
0.909,0.119,0.7454,0,82.35,82.62,15-Jun-18,181,0.06,0.08,-0.005,0.014,0.4323,984
0.909,0.119,0.7343,0,81.35,81.63,15-Jun-18,182,0.06,0.08,-0.005,0.014,0.4268,798
0.91,0.119,0.7233,47,80.36,80.63,15-Jun-18,183,0.07,0.08,-0.006,0.015,0.4244,305
0.91,0.12,0.7125,37,79.36,79.64,15-Jun-18,184,0.07,0.08,-0.006,0.015,0.4183,"2,161"
0.91,0.12,0.7017,"1,527",78.37,78.64,15-Jun-18,185,0.07,0.09,-0.006,0.016,0.4157,"136,635"
0.91,0.12,0.6911,47,77.37,77.65,15-Jun-18,186,0.07,0.09,-0.006,0.016,0.4099,"2,285"
0.911,0.12,0.6802,0,76.37,76.65,15-Jun-18,187,0.07,0.09,-0.006,0.017,0.4042,664
0.911,0.121,0.6702,79,75.38,75.66,15-Jun-18,188,0.08,0.09,-0.007,0.017,0.4014,463
0.911,0.121,0.6596,0,74.38,74.66,15-Jun-18,189,0.08,0.09,-0.007,0.018,0.3957,"6,020"
0.911,0.122,0.6498,493,73.39,73.67,15-Jun-18,190,0.08,0.1,-0.007,0.019,0.3927,"19,532"
0.911,0.122,0.6397,1,72.4,72.67,15-Jun-18,191,0.09,0.1,-0.008,0.02,0.3896,"2,031"
